CLIENT [C(00006)]`OBJECT [C(00020)]`SUBOBJECT [C(00012)]`NRRANGENR [C(00004)]`TOYEAR [C(00008)]`FROMNUMBER [C(00040)]`TONUMBER [C(00040)]`NRLEVEL [C(00040)]`EXTERNIND [C(00002)]
400`  ANLAGENNR`  3310`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  3310`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  3310`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  3310`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  3310`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  3310`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  3310`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  3310`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  3310`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  3510`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  3510`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  3510`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  3510`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  3510`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  3510`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  3510`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  3510`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  3510`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  3510`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  3510`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  3610`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  3610`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  3610`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  3610`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  3610`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  3610`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  3610`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  3610`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  3610`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  3610`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  3610`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  3710`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  3710`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  3710`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  3710`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  3710`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  3710`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  3710`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  3710`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  3710`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  3710`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  3710`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  3910`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  3910`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  3910`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  3910`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
