MANDT [C(00006)]`VKORG [C(00008)]`VTWEG [C(00004)]`SPART [C(00004)]`KALVG [C(00004)]`KALKS [C(00004)]`KALSM [C(00012)]`KARTV [C(00008)]`KALNB [C(00012)]`KALBB [C(00012)]
400`  `  `  `  `  `  `  `  `
400`  1710`  10`  00`  S3`  02`  A17020`  PSI1`  `
400`  1710`  10`  00`  S3`  1`  A17020`  `  `
400`  1710`  10`  00`  Y1`  02`  Y17J01`  PPR0`  YA0001`
400`  1710`  10`  00`  Y2`  02`  A17J04`  VTV1`  `
400`  1710`  10`  CO`  A`  02`  A17J02`  PPR0`  `
400`  1710`  10`  CO`  AS`  02`  A17J10`  `  `
400`  1710`  10`  CO`  O1`  `  Y17101`  PPR0`  `
400`  1710`  10`  CO`  O1`  01`  Y17101`  PPR0`  `
400`  1710`  10`  CO`  O1`  02`  Y17J01`  PPR0`  `
400`  1710`  10`  CO`  S1`  `  S17J01`  PPR0`  `
400`  1710`  10`  CO`  S1`  01`  S17J01`  PPR0`  `
400`  1710`  10`  CO`  S1`  02`  S17J01`  PPR0`  `
400`  1710`  10`  CO`  S3`  `  A17020`  PSI1`  `
400`  1710`  10`  CO`  S3`  01`  A17020`  PSI1`  `
400`  1710`  10`  CO`  S3`  02`  A17020`  PSI1`  `
400`  1710`  10`  CO`  S3`  1`  A17020`  `  `
400`  1710`  10`  CO`  Y1`  02`  Y17J01`  PPR0`  YA0001`
400`  1710`  10`  CO`  Y2`  02`  A17J04`  VTV1`  `
400`  1810`  10`  00`  A`  `  A18002`  PPR0`  `
400`  1810`  10`  00`  A`  01`  A18002`  PPR0`  `
400`  1810`  10`  00`  AS`  `  S18002`  `  `
400`  1810`  10`  00`  AS`  01`  S18002`  `  `
400`  1810`  10`  00`  Y1`  `  Y18101`  PPR0`  YA0001`
400`  1810`  10`  00`  Y1`  01`  Y18101`  PPR0`  YA0001`
400`  1810`  10`  00`  Y2`  `  A18004`  VTV1`  `
400`  1810`  10`  00`  Y2`  01`  A18004`  VTV1`  `
400`  1810`  10`  CO`  A`  `  A18002`  PPR0`  `
400`  1810`  10`  CO`  A`  01`  A18002`  PPR0`  `
400`  1810`  10`  CO`  AS`  `  S18002`  `  `
400`  1810`  10`  CO`  AS`  01`  S18002`  `  `
400`  1810`  10`  CO`  Y1`  `  Y18101`  PPR0`  YA0001`
400`  1810`  10`  CO`  Y1`  01`  Y18101`  PPR0`  YA0001`
