TCODE [C(00040)]`PARAM [C(00508)]
/AIF/MYRECIPIENTS`  /*SM30 UPDATE=X;VIEWNAME=/AIF/V_ALRT_USR3;
/AIF/NEWDEVIDS`  /*SM30 VIEWNAME=/AIF/V_NEWDEV_ID;UPDATE=X;
/AIF/NEWDEVPRO`  /*SM30 VIEWNAME=/AIF/V_NEWDEVPRO;UPDATE=X;
/AIF/PERS_CGR`  /*SM30 VIEWNAME=/AIF/V_PERS_RTCG;UPDATE=X;
/AIF/PERS_DEL_AUTH`  /*SM30 VIEWNAME=/aif/v_pers_d_au;UPDATE=X;
/AIF/RECIPIENTS`  /*SM30 UPDATE=X;VIEWNAME=/AIF/V_ALRT_USR2;
/AIF/REP_AC_ASGN`  /*SM30 UPDATE=X;VIEWNAME=/AIF/VREP_AC_ASG;
/AIF/REP_AC_DEF`  /*SM30 VIEWNAME=/AIF/VREP_AC_DEF;UPDATE=X;
/AIF/TJ_CONFIG`  /*SM34 VCLDIR-VCLNAME=/AIF/VC_TJ_CONF;UPDATE=X;
/AIF/TOPICDEF`  /*SM34 VCLDIR-VCLNAME=/AIF/V_TOPIC;UPDATE=X;
/AIF/TOPICSTATUS`  /*SM30 VIEWNAME=/AIF/V_TOPIC_ST;UPDATE=X;
/AIF/TOPICSTATUSH`  /*SM30 VIEWNAME=/AIF/V_TOPIC_STH;SHOW=X;
/AIF/TOPICSTATUSHALL`  /*SM30 VIEWNAME=/AIF/V_TOPIC_STA;SHOW=X;
/AIF/USERATTR`  /*SM30 VIEWNAME=/AIF/USERATTR;UPDATE=X;
/AIF/USERMGR`  /*SM30 VIEWNAME=/AIF/v_USER_mgr;UPDATE=X;
/AIF/USERMGR2`  /*SM30 VIEWNAME=/AIF/v_USER_mgr2;UPDATE=X;
/AIF/VPN`  /*SM30 VIEWNAME=/AIF/V_VALID_PER;UPDATE=X;
/AIF/WET_CONFIG`  /*SM30 VIEWNAME=/AIF/V_WET_CONF;UPDATE=X;
