MANDT [C(00006)]`SPRAS [C(00002)]`AFAPL [C(00008)]`METSTU [C(00006)]`STUTXT [C(00100)]
400`  E`  0PL`  002`   0.0000%
400`  E`  0SE`  002`   0.0000%
400`  E`  0SG`  002`   0.0000%
400`  E`  0SK`  002`   0.0000%
400`  E`  0TH`  002`   0.0000%
400`  E`  0TW`  002`   0.0000%
400`  E`  0VE`  002`   0.0000%
400`  E`  0ZA`  002`   0.0000%
400`  E`  BJDM`  002`   0.0000%
400`  E`  CN02`  002`   0.0000%
400`  E`  XXGS`  002`   0.0000%
400`  E`  M009`  002`   0.0000%
400`  E`  0AT`  005`   0.0000%
400`  E`  0BR`  005`   0.0000%
400`  E`  0CN`  005`   0.0000%
400`  E`  0HK`  005`   0.0000%
400`  E`  0MX`  005`   0.0000%
400`  E`  0PE`  005`   0.0000%
400`  E`  0SE`  005`   0.0000%
400`  E`  0VE`  005`   0.0000%
400`  E`  BJDM`  005`   0.0000%
400`  E`  CN02`  005`   0.0000%
400`  E`  XXGS`  005`   0.0000%
400`  E`  M009`  005`   0.0000%
400`  E`  0AT`  003`   0.0000%
400`  E`  0BE`  003`   0.0000%
400`  E`  0BR`  003`   0.0000%
400`  E`  0ES`  003`   0.0000%
400`  E`  0FR`  003`   0.0000%
400`  E`  0IT`  003`   0.0000%
400`  E`  0LU`  003`   0.0000%
400`  E`  0PL`  003`   0.0000%
400`  E`  0PT`  003`   0.0000%
400`  E`  0AR`  009`   0.0000%
400`  E`  0CA`  009`   0.0000%
400`  E`  0DK`  009`   0.0000%
400`  E`  0FI`  009`   0.0000%
400`  E`  0KR`  009`   0.0000%
400`  E`  0MY`  009`   0.0000%
400`  E`  0PH`  009`   0.0000%
400`  E`  0DE`  010`   0.0000%
400`  E`  0GB`  010`   0.0000%
400`  E`  0IE`  010`   0.0000%
400`  E`  0IN`  010`   0.0000%
400`  E`  0SG`  010`   0.0000%
400`  E`  0ZA`  010`   0.0000%
400`  E`  0BE`  006`   0.0000%
400`  E`  0BR`  006`   0.0000%
400`  E`  0FR`  006`   0.0000%
400`  E`  0LU`  006`   0.0000%
400`  E`  0NL`  006`   0.0000%
400`  E`  0CO`  011`   0.0000%
400`  E`  0CZ`  011`   0.0000%
400`  E`  0KR`  011`   0.0000%
400`  E`  0PH`  011`   0.0000%
400`  E`  0SK`  011`   0.0000%
400`  E`  0CN`  008`   0.0000%
400`  E`  0FR`  008`   0.0000%
400`  E`  0SE`  008`   0.0000%
400`  E`  BJDM`  008`   0.0000%
400`  E`  CN02`  008`   0.0000%
400`  E`  XXGS`  008`   0.0000%
400`  E`  M009`  008`   0.0000%
400`  E`  0GB`  016`   0.0000%
400`  E`  0IE`  016`   0.0000%
400`  E`  0IN`  016`   0.0000%
400`  E`  0MY`  016`   0.0000%
400`  E`  0SG`  016`   0.0000%
400`  E`  0AR`  012`   0.0000%
400`  E`  0CA`  012`   0.0000%
400`  E`  0DK`  012`   0.0000%
400`  E`  0MY`  012`   0.0000%
400`  E`  0AR`  013`   0.0000%
400`  E`  0AR`  018`   0.0000%
400`  E`  0DE`  013`   0.0000%
400`  E`  0DE`  018`   0.0000%
400`  E`  0FI`  018`   0.0000%
400`  E`  0IT`  013`   0.0000%
400`  E`  0AR`  026`   0.0000%
400`  E`  0CO`  007`   0.0000%
400`  E`  0CZ`  015`   0.0000%
400`  E`  0DE`  026`   0.0000%
400`  E`  0FI`  007`   0.0000%
400`  E`  0FI`  017`   0.0000%
400`  E`  0MY`  017`   0.0000%
400`  E`  0SK`  015`   0.0000%
400`  E`  0TW`  125`   0.0000%
400`  E`  0CH`  029`   0.0000%
400`  E`  0CH`  031`   0.0000%
400`  E`  0RU`  074`   0.0000%
