PATCH [C(00040)]`SHORT_TEXT [C(00120)]`STATUS [C(00002)]`IMPLE_DATE [D(00016)]`L_IMPL_REL [C(00008)]`DELIV_DATE [D(00016)]`IMPLE_TIME [T(00012)]`COMP_REL [C(00020)]`COMPONENT [C(00060)]
SAPK-60011INISPSCA`  SP 11 for IS-PS-CA 6.00`  I`  20071120`  700`  20071025`  131959`  `
SAPK-60011INISUT`  SP 11 for IS-UT 6.00`  I`  20071120`  700`  20071025`  131958`  `
SAPK-60011INLSOFE`  LSOFE 600: patch 0011`  I`  20071120`  700`  20071023`  131949`  600`  LSOFE
SAPK-60012INERECRUIT`  ERECRUIT 600: patch 0012`  I`  20080505`  700`  20080219`  160223`  600`  ERECRUIT
SAPK-20002INMSGPMCON`  MSGPMCON 200: Patch 0002`  I`  20170426`  752`  201`  141806`  200`  MSGPMCON
SAPK-60012INFICAX`  SP 12 for FI-CAX 6.00`  I`  20080505`  700`  20080219`  160222`  `
SAPK-60012ININSURANC`  SP 12 for INSURANCE 6.00`  I`  20080505`  700`  20080219`  160221`  `
SAPK-60012INISH`  SP 12 for IS-H 6.00`  I`  20071120`  700`  20071024`  132004`  `
SAPK-60012INISM`  SP 12 for IS-M 6.00`  I`  20080505`  700`  20080218`  160220`  `
SAPK-60012INISOIL`  SP 12 for IS-OIL 6.00`  I`  20080505`  700`  20080221`  160214`  `
SAPK-60012INISPSCA`  SP 12 for IS-PS-CA 6.00`  I`  20080505`  700`  20080218`  160219`  `
SAPK-60012INISUT`  SP 12 for IS-UT 6.00`  I`  20080505`  700`  20080219`  160218`  `
SAPK-60012INLSOFE`  LSOFE 600: patch 0012`  I`  20080505`  700`  20080218`  160209`  600`  LSOFE
SAPK-60013INERECRUIT`  ERECRUIT 600: patch 0013`  I`  20080626`  701`  20080601`  151355`  600`  ERECRUIT
SAPK-60842INEAHR`  EA-HR 608: SP 0042`  I`  20170627`  752`  20170612`  074236`  608`  EA-HR
SAPK-60013INFICAX`  SP 13 for FI-CAX 6.00`  I`  20080716`  701`  20080505`  153318`  `
SAPK-60013ININSURANC`  SP 13 for INSURANCE 6.00`  I`  20080716`  701`  20080505`  153317`  `
SAPK-60013INISH`  SP 13 for IS-H 6.00`  I`  20080505`  700`  20080221`  160215`  `
SAPK-60013INISM`  SP 13 for IS-M 6.00`  I`  20080716`  701`  20080505`  153314`  `
SAPK-60013INISOIL`  SP 13 for IS-OIL 6.00`  I`  20080716`  701`  20080505`  153313`  `
SAPK-60013INISPSCA`  SP 13 for IS-PS-CA 6.00`  I`  20080716`  701`  20080505`  153312`  `
SAPK-60013INISUT`  SP 13 for IS-UT 6.00`  I`  20080716`  701`  20080505`  153311`  `
SAPK-60013INLSOFE`  LSOFE 600: patch 0013`  I`  20080626`  701`  20080508`  151354`  600`  LSOFE
SAPK-60014INERECRUIT`  ERECRUIT 600: Support Package 0014`  I`  20081217`  701`  200`  131416`  600`  ERECRUIT
SAPK-750BHINSAPABA`  SAP_ABA 750 Update: Meta-Commandfile`  I`  20150705`  750`  20150521`  130000`  750`  SAP_ABA
SAPK-60014INFICAX`  SP 14 for FI-CAX 6.00`  I`  20081217`  701`  200`  131415`  `
SAPK-60014ININSURANC`  SP 14 for INSURANCE 6.00`  I`  20081217`  701`  200`  141612`  `
SAPK-60014INISH`  SP 14 for IS-H 6.00`  I`  20080716`  701`  20080505`  153315`  `
SAPK-60014INISM`  SP 14 for IS-M 6.00`  I`  20081217`  701`  200`  141608`  `
SAPK-60014INISOIL`  SP 14 for IS-OIL 6.00`  I`  20081217`  701`  200`  141607`  `
SAPK-60014INISPSCA`  SP 14 for IS-PS-CA 6.00`  I`  20081217`  701`  200`  141606`  `
SAPK-60014INISUT`  SP 14 for IS-UT 6.00`  I`  20081217`  701`  200`  141605`  `
SAPK-60014INLSOFE`  LSOFE 600: patch 0014`  I`  20081217`  701`  200`  141604`  600`  LSOFE
SAPK-60015INERECRUIT`  ERECRUIT 600: Support Package 0015`  I`  20090218`  701`  20090113`  100422`  600`  ERECRUIT
SAPK-75ABHINSAPABA`  SAP_ABA 75A Update: Meta-Commandfile`  I`  20150705`  750`  20150521`  133000`  75A`  SAP_ABA
SAPK-60015INFICAX`  SP 15 for FI-CAX 6.00`  I`  20090218`  701`  20090107`  110217`  `
SAPK-60015ININSURANC`  SP 15 for INSURANCE 6.00`  I`  20090218`  701`  20090107`  110907`  `
SAPK-60015INISH`  SP 15 for IS-H 6.00`  I`  20081217`  701`  200`  141609`  `
SAPK-60015INISM`  SP 15 for IS-M 6.00`  I`  20090218`  701`  20090107`  115326`  `
SAPK-60015INISOIL`  SP 15 for IS-OIL 6.00`  I`  20090218`  701`  20090107`  120808`  `
SAPK-60015INISPSCA`  SP 15 for IS-PS-CA 6.00`  I`  20090218`  701`  20090107`  143659`  `
SAPK-60015INISUT`  SP 15 for IS-UT 6.00`  I`  20090218`  701`  20090107`  145519`  `
SAPK-60015INLSOFE`  LSOFE 600: Support Package 0015`  I`  20090218`  701`  20090113`  151528`  600`  LSOFE
SAPK-60016INERECRUIT`  ERECRUIT 600: Support Package 0016`  I`  20091125`  702`  20090721`  162501`  600`  ERECRUIT
SAPK-752BHINSAPBASIS`  SAP_BASIS 752 Update: Meta-Commandfile`  I`  20170424`  752`  20170123`  140530`  752`  SAP_BASIS
SAPK-60016INFICAX`  SP 16 for FI-CAX 6.00`  I`  20091125`  702`  20090720`  162503`  `
SAPK-60016ININSURANC`  SP 16 for INSURANCE 6.00`  I`  20091125`  702`  20090720`  162504`  `
SAPK-60016INISH`  SP 16 for IS-H 6.00`  I`  20081217`  701`  200`  141610`  600`  IS-H
SAPK-60016INISM`  SP 16 for IS-M 6.00`  I`  20091125`  702`  20090720`  162510`  `
SAPK-60016INISOIL`  SP 16 for IS-OIL 6.00`  I`  20091125`  702`  20090720`  162511`  `
SAPK-60016INISPSCA`  SP 16 for IS-PS-CA 6.00`  I`  20091125`  702`  20090720`  162512`  `
SAPK-60016INISUT`  SP 16 for IS-UT 6.00`  I`  20091125`  702`  20090720`  162513`  `
SAPK-60016INLSOFE`  LSOFE 600: Support Package 0016`  I`  20091125`  702`  20090721`  162514`  600`  LSOFE
SAPK-60017INERECRUIT`  ERECRUIT 600: Support Package 0017`  I`  20110810`  702`  20100224`  074326`  600`  ERECRUIT
SAPK-60010INSRA004`  SRA004 600: SP 0010`  I`  20170628`  752`  20170623`  092612`  600`  SRA004
SAPK-60017INFICAX`  SP 17 for FI-CAX 6.00`  I`  20110810`  702`  20100226`  074330`  `
SAPK-60017ININSURANC`  SP 17 for INSURANCE 6.00`  I`  20110810`  702`  20100226`  074331`  `
SAPK-60017INISH`  SP 17 for IS-H 6.00`  I`  20090218`  701`  20090108`  113817`  `
SAPK-60017INISM`  SP 17 for IS-M 6.00`  I`  20110810`  702`  20100226`  074336`  `
SAPK-60017INISOIL`  SP 17 for IS-OIL 6.00`  I`  20110810`  702`  20100226`  074337`  `
SAPK-60017INISPSCA`  SP 17 for IS-PS-CA 6.00`  I`  20110810`  702`  20100226`  074338`  `
SAPK-60017INISUT`  SP 17 for IS-UT 6.00`  I`  20110810`  702`  20100226`  074339`  `
SAPK-60017INLSOFE`  LSOFE 600: Support Package 0017`  I`  20110810`  702`  20100224`  074340`  600`  LSOFE
