UserId [C(00030)]`Date [D(00016)]`Time [T(00012)]`ChangedBy [C(00024)]`Action [C(00100)]`OldContentsOfChangedField [C(00150)]`NewContentsOfChangedField [C(00150)]`TCode [C(00030)]
SAP581|12/05/2020|20:37:27|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |12/14/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP582|12/06/2020|10:53:58|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP582|12/06/2020|10:53:58|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP582|12/06/2020|10:53:58|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |12/15/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP582|12/15/2020|16:37:25|SAP   |有效期至：已更改|12/15/2020                                                                                                                                                                                                                                                   |              |00/00/0000                                                                                                                                                                                                                                                   |              |SU01```````
SAP583|12/06/2020|19:33:55|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP583|12/06/2020|19:33:55|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP583|12/06/2020|19:33:55|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |12/15/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP584|12/06/2020|22:07:14|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP584|12/06/2020|22:07:14|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP585|12/06/2020|22:07:31|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP585|12/06/2020|22:07:31|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP586|12/07/2020|12:53:16|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
