MANDANT [C(00006)]`OBJECTCLAS [C(00030)]`OBJECTID [C(00180)]`CHANGENR [C(00020)]`TABNAME [C(00060)]`TABKEY [C(00140)]`FNAME [C(00060)]`CHNGIND [C(00002)]`TEXT_CASE [C(00002)]`UNIT_OLD [C(00006)]`UNIT_NEW [C(00006)]`CUKY_OLD [C(00010)]`CUKY_NEW [C(00010)]`VALUE_NEW [C(00508)]`VALUE_OLD [C(00508)]
400`  PFCG`  SAP_BR_MAINTENANCE_PLANNER`  0000239571`  AGR_USERS`  400SAP_BR_MAINTENANCE_PLANNER    SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_MAINTENANCE_TECHNICIAN`  0000239572`  AGR_USERS`  400SAP_BR_MAINTENANCE_TECHNICIAN SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_MATL_PLNR_EXT_PROC`  0000239573`  AGR_USERS`  400SAP_BR_MATL_PLNR_EXT_PROC     SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_MD_SPECIALIST_RAW_SUBST`  0000239574`  AGR_USERS`  400SAP_BR_MD_SPECIALIST_RAW_SUBSTSAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_OVERHEAD_ACCOUNTANT`  0000239575`  AGR_USERS`  400SAP_BR_OVERHEAD_ACCOUNTANT    SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODMASTER_SPECIALIST`  0000239576`  AGR_USERS`  400SAP_BR_PRODMASTER_SPECIALIST  SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_ACCOUNTANT`  0000239577`  AGR_USERS`  400SAP_BR_PRODN_ACCOUNTANT       SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_ENG_DISC`  0000239578`  AGR_USERS`  400SAP_BR_PRODN_ENG_DISC         SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_ENG_PROC`  0000239579`  AGR_USERS`  400SAP_BR_PRODN_ENG_PROC         SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_OPTR_DISC`  0000239580`  AGR_USERS`  400SAP_BR_PRODN_OPTR_DISC        SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_OPTR_PROC`  0000239581`  AGR_USERS`  400SAP_BR_PRODN_OPTR_PROC        SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_OPTR_RPTV`  0000239582`  AGR_USERS`  400SAP_BR_PRODN_OPTR_RPTV        SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_PLNR`  0000239583`  AGR_USERS`  400SAP_BR_PRODN_PLNR             SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_PLNR_LEAN_MFG`  0000239584`  AGR_USERS`  400SAP_BR_PRODN_PLNR_LEAN_MFG    SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_SUPERVISOR_DISC`  0000239585`  AGR_USERS`  400SAP_BR_PRODN_SUPERVISOR_DISC  SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_SUPERVISOR_PROC`  0000239586`  AGR_USERS`  400SAP_BR_PRODN_SUPERVISOR_PROC  SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODN_SUPERVISOR_RPTV`  0000239587`  AGR_USERS`  400SAP_BR_PRODN_SUPERVISOR_RPTV  SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PRODUCT_CONFIG_MODELER`  0000239588`  AGR_USERS`  400SAP_BR_PRODUCT_CONFIG_MODELER SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PURCHASER`  0000239589`  AGR_USERS`  400SAP_BR_PURCHASER              SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_PURCHASING_MANAGER`  0000239590`  AGR_USERS`  400SAP_BR_PURCHASING_MANAGER     SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_RECEIVING_SPECIALIST`  0000239591`  AGR_USERS`  400SAP_BR_RECEIVING_SPECIALIST   SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_RECIPE_DEVELOPER`  0000239592`  AGR_USERS`  400SAP_BR_RECIPE_DEVELOPER       SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_SHIPPING_SPECIALIST`  0000239593`  AGR_USERS`  400SAP_BR_SHIPPING_SPECIALIST    SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_BR_WAREHOUSE_CLERK`  0000239594`  AGR_USERS`  400SAP_BR_WAREHOUSE_CLERK        SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_FIN_BANK_APP`  0000239595`  AGR_USERS`  400SAP_FIN_BANK_APP              SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_FND_TCR_T`  0000239596`  AGR_USERS`  400SAP_FND_TCR_T                 SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_MDGA_MENU`  0000239597`  AGR_USERS`  400SAP_MDGA_MENU                 SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_MDG_ADMIN`  0000239598`  AGR_USERS`  400SAP_MDG_ADMIN                 SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_SD_SOFM_DLV_APP`  0000239599`  AGR_USERS`  400SAP_SD_SOFM_DLV_APP           SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  SAP_SD_SOFULFIL_MON_APP`  0000239600`  AGR_USERS`  400SAP_SD_SOFULFIL_MON_APP       SAP555      2020082199991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  ZSAPTEXT`  0000239601`  AGR_USERS`  400ZSAPTEXT                      SAP555      2020112799991231`  KEY`  I`  1`  `  `  `  `  `
400`  PFCG`  123123`  0000239636`  AGR_DEFINE`  400123123`  KEY`  I`  1`  `  `  `  `  `
