MANDT [C(00006)]`FLREF [C(00040)]`FAUS1 [C(00140)]`FAUS2 [C(00140)]`FAUS3 [C(00140)]`BSTYP [C(00002)]
400`  UPFF`  ***.*.******************.************************.***.*...**...****.*.`  .*..*.*..**...*.*..***..****....*********.*.*****...*******.*....****F`  ......................................................................`  F
400`  UPHF`  **...--*********.****.**..*.*.*********....**.*-*.*.*-*-***.*..***..*.`  ...*.......-*.*..*..*...*......*.............***...*.****.***.....**..`  .****`  F
400`  UPIF`  **...--*********.****.**..*.*.*********....**.*-*.-.*-*-***.*..*.*..*.`  ...*.......-*.*..*..*...*......*..............*....*.****..**.....**..`  .****`  F
400`  UPPF`  ********.*....************.******************************************.`  *****.********.*********.****.****.**********************************F`  ***.******************************************************************`  F
400`  UPSF`  ********.*....************.******************************************.`  *****.********.*********.****.****.**********************************F`  ***.******************************************************************`  F
400`  UPUF`  +************************************************+********************`  **********************************************************************`  ***********************************************************+**********`  F
400`  WKC`  ..............+..................................+.+.+......+.........`  ......-.............+................................................C`  .........................------+..-.-.+-------........................`  C
400`  WKK`  ............+.+......--.......+++...++.............+-.......+.........`  ....................+........-.......................--..............K`  .........................------+..-.-.+-----..........................`  K
400`  ZANBF01`  ..........+.+.......................--................................`  ....................+...........--..............-.................-..F`  ......................................................................`  F
400`  ZANBF02`  ..........+.+.......................--................................`  ....................+...........--..............-.................-..F`  ......................................................................`  F
400`  ZANBF03`  ..........+.+.......................--................................`  ....................+...........--..............-.................-..F`  ......................................................................`  F
400`  ZANBF04`  ..........+.+.......................--................................`  ....................+...........--..............-.................-..F`  ......................................................................`  F
400`  ZANBF05`  ..........+.+.......................--................................`  ....................+...........--..............-.................-..F`  ......................................................................`  F
400`  ZANBF06`  ..........+.+.......................--................................`  ....................+...........--..............-.................-..F`  ......................................................................`  F
400`  ZANBF09`  ..........+.+.......................--................................`  ....................+...........--..............-.................-..F`  ......................................................................`  F
400`  ZMA`  .*....+...+.+.......................--................................`  ....................+...........--..............-.................-..F`  ......................................................................`  F
400`  ZMF`  .*....+...+.+.......................--................................`  ....................+...........--..............-.................-..F`  ......................................................................`  F
400`  ZNA`  .*....*...+.+.......................--................................`  ................................--..............-.................-..F`  ......................................................................`  F
400`  ZNB`  ......+...+.+.......................--................................`  ....................+...........--..............-.................-..F`  ......................................................................`  F
400`  ZNBF`  .....+......+.......................--................................`  ................................--..............-.................-..F`  ......................................................................`  F
400`  ZNBF1`  ....................................--................................`  ................................--..............-.................-..F`  ......................................................................`  F
400`  ZNC`  .*....*...+.+.......................--................................`  ................................--..............-.................-..F`  ......................................................................`  F
400`  ZND`  ......+...+.+.......................--................................`  ................................--..............-.................-..F`  ......................................................................`  F
400`  ZNE`  .+........+.+.......................--................................`  ................................--..............-.................-..F`  ......................................................................`  F
400`  ZNG`  .+....+...+.+.......................--................................`  ................................--..............-.................-..F`  ......................................................................`  F
400`  ZRE`  ......+...+.+.......................--................................`  ....................+...........--..............-.................-..F`  ......................................................................`  F
